input,actual_output,expected_output,context,source_file
¿Requisitos para abrir CAV (Cuenta Ahorro Vivienda) en BancoEstado?,,"Los requisitos son:
- Ser Persona Natural
- Ser mayor de 18 años
- No tener otra Cuenta de Ahorro Vivienda en el sistema financiero
- Realizar un Depósito de apertura de al menos UF 0,5","# Cuáles son los requisitos para la Cuenta de Ahorro Vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00517 | **Versión**: 1.0

## Respuesta

Los requisitos son:

Ser Persona Natural

Ser mayor de 18 años.

No tener otra Cuenta de Ahorro Vivienda en el sistema financiero.

Realizar un Depósito de apertura de al menos UF 0,5.

Cuáles son los requisitos para la Cuenta de Ahorro Vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00517.md
¿Qué requisitos generales necesito para abrir una Cuenta Ahorro Vivienda en BancoEstado y qué documentos suelen pedir?,,"Los requisitos son:
- Ser Persona Natural
- Ser mayor de 18 años
- No tener otra Cuenta de Ahorro Vivienda en el sistema financiero
- Realizar un Depósito de apertura de al menos UF 0,5","# Cuáles son los requisitos para la Cuenta de Ahorro Vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00517 | **Versión**: 1.0

## Respuesta

Los requisitos son:

Ser Persona Natural

Ser mayor de 18 años.

No tener otra Cuenta de Ahorro Vivienda en el sistema financiero.

Realizar un Depósito de apertura de al menos UF 0,5.

Cuáles son los requisitos para la Cuenta de Ahorro Vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00517.md
"¿Puede un chileno con residencia definitiva obtener un crédito hipotecario, sujeto a los requisitos vigentes para su otorgamiento?",,Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.,"# Nacionalidad para Solicitar Crédito Hipotecario

**Categoría**: Banco | **Subcategoría**: Negocio | **Documento**: BD1-00599 | **Versión**: 1.0

## Respuesta

Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.

Nacionalidad para Solicitar Crédito Hipotecario
",knowledge_base\BD1-00599.md
¿Extranjeros con permanencia definitiva pueden solicitar crédito hipotecario en este banco?,,Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.,"# Nacionalidad para Solicitar Crédito Hipotecario

**Categoría**: Banco | **Subcategoría**: Negocio | **Documento**: BD1-00599 | **Versión**: 1.0

## Respuesta

Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.

Nacionalidad para Solicitar Crédito Hipotecario
",knowledge_base\BD1-00599.md
¿Cuáles son los pasos para abrir la Cuenta de Ahorro Vivienda en BancoEstado?,,"Paso 1: Ingresa a la App Banco estado

Paso 2: Dirígete a la opción menú productos

Paso 3: Selecciona abrir Cuenta de Ahorro Vivienda","# Cómo contratar tu cuenta de ahorro para la vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00513 | **Versión**: 1.0

## Respuesta

Paso 1: Ingresa a la App Banco estado

Paso 2: Dirígete a la opción menú productos

Paso 3: Selecciona abrir Cuenta de Ahorro Vivienda

Cómo contratar tu cuenta de ahorro para la vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00513.md
¿Cómo se usa la CAV en la app BancoEstado para hacer operaciones básicas?,,El documento describe cómo contratar la Cuenta de Ahorro para la Vivienda (CAV) en la app Banco Estado. Pasos: 1) Ingresa a la App Banco Estado; 2) Dirígete a la opción menú productos; 3) Selecciona abrir Cuenta de Ahorro Vivienda.,"# Cómo contratar tu cuenta de ahorro para la vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00513 | **Versión**: 1.0

## Respuesta

Paso 1: Ingresa a la App Banco estado

Paso 2: Dirígete a la opción menú productos

Paso 3: Selecciona abrir Cuenta de Ahorro Vivienda

Cómo contratar tu cuenta de ahorro para la vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00513.md
¿Cuáles son las ventajas de la Cuenta Ahorro Vivienda y cuánto ahorro mínimo se exige?,,"Ventajas de la Cuenta Ahorro Vivienda:
- Es una cuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional.
- Gana intereses y reajustes anualmente por los depósitos mantenidos por 90 días o más.
- Permite realizar giros de hasta 30 UF diarias, o montos mayores con un aviso de 7 días de anticipación.
- Puedes postular al Subsidio Habitacional del D. S. Nº 40 de 2004 del MINVU, inmediatamente después de haber completado el ahorro mínimo exigido.
- También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el D. S. Nº 40/2004 del MINVU.

Ahorro mínimo exigido: el documento no especifica el monto.","# Qué es la Cuenta de Ahorro Vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00515 | **Versión**: 1.0

## Respuesta

Es una Cuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional.

Gana intereses y reajustes anualmente por los Depósitos mantenidos por 90 días o más en tu Cuenta. Además, te permite realizar giros de hasta 30 UF diarias, o montos mayores con un aviso de 7 días de anticipación.

Con esta Cuenta de ahorro puedes postular al Subsidio Habitacional del D. S. Nº 40 de 2004 del Ministerio de Vivienda y Urbanismo, inmediatamente después de haber completado el ahorro mínimo exigido. También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el D. S. Nº 40/2004 del MINVU.

Qué es la Cuenta de Ahorro Vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00515.md
"¿Podrías explicar la Cuenta Ahorro Vivienda: unipersonal, UF reajuste, intereses a 90 días, 30 UF/día, HAB y otros subsidios?",,"- Es una cuenta unipersonal y reajustable de acuerdo a la variación de la UF.
- Te permite postular al Subsidio Habitacional (DS 40 de 2004, MINVU) inmediatamente después de completar el ahorro mínimo exigido.
- También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el DS 40/2004.
- Gana intereses y reajustes anualmente por los depósitos mantenidos por 90 días o más en la cuenta.
- Permite giros de hasta 30 UF diarios, o montos mayores con aviso de 7 días de anticipación.","# Qué es la Cuenta de Ahorro Vivienda

**Categoría**: Sitio Publico | **Subcategoría**: Cuenta Ahorro Vivienda | **Documento**: BD1-00515 | **Versión**: 1.0

## Respuesta

Es una Cuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional.

Gana intereses y reajustes anualmente por los Depósitos mantenidos por 90 días o más en tu Cuenta. Además, te permite realizar giros de hasta 30 UF diarias, o montos mayores con un aviso de 7 días de anticipación.

Con esta Cuenta de ahorro puedes postular al Subsidio Habitacional del D. S. Nº 40 de 2004 del Ministerio de Vivienda y Urbanismo, inmediatamente después de haber completado el ahorro mínimo exigido. También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el D. S. Nº 40/2004 del MINVU.

Qué es la Cuenta de Ahorro Vivienda

---
**Fuente**: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab",knowledge_base\BD1-00515.md
"¿Cuál es la renta líquida mínima para un crédito hipotecario y qué condiciones aplican, como dividendo ≤ 30%, codeudor/2º comprador y evaluación de crédito/riesgo?",,"- Renta líquida mínima para solicitar crédito hipotecario: $600.000.

- Opción de complementar renta:
  - con un codeudor, con o sin vínculo, o con un segundo comprador; o con un segundo o tercer comprador.
  - La renta de ambos ingresos debe ser ≥ $900.000 líquidos.

- Para complementar la renta: el titular debe cumplir la renta mínima de $600.000; sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

- Aval: si se requiere, debe ser evaluado de forma independiente y cumplir con todas las normativas vigentes por sí solo.

- Dividendo a pagar: hasta el 30% de tus ingresos mensuales.","# Renta líquida Mínima para Solicitar Crédito Hipotecario

**Categoría**: Banco | **Subcategoría**: Negocio | **Documento**: BD1-00602 | **Versión**: 1.0

## Respuesta

Sueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

Opción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.

Para complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

En caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.

Valor del dividendo a pagar hasta el 30% de tus ingresos mensuales.

Renta líquida Mínima para Solicitar Crédito Hipotecario
",knowledge_base\BD1-00602.md
¿Se puede sumar renta de codeudor o 2º comprador para alcanzar 900k neto?,,Sí. Se puede complementar la renta con un codeudor o con un segundo (o tercer) comprador para que la suma de ingresos sea mayor o igual a $900.000 pesos líquidos. El titular debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.,"# Renta líquida Mínima para Solicitar Crédito Hipotecario

**Categoría**: Banco | **Subcategoría**: Negocio | **Documento**: BD1-00602 | **Versión**: 1.0

## Respuesta

Sueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

Opción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.

Para complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

En caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.

Valor del dividendo a pagar hasta el 30% de tus ingresos mensuales.

Renta líquida Mínima para Solicitar Crédito Hipotecario
",knowledge_base\BD1-00602.md
